t (s),V (mV)
0,16.2667
0.999,16.2486
1.999,16.2233
3,16.1961
3.999,16.1647
4.999,16.1326
5.999,16.0985
7,16.0633
7.999,16.027
8.999,15.9912
10,15.9541
10.999,15.9178
11.999,15.8798
12.999,15.8426
13.999,15.8053
14.999,15.7676
15.999,15.7305
16.999,15.692
17.999,15.6541
18.999,15.6165
19.999,15.5785
21,15.5402
21.999,15.5036
22.999,15.4661
23.999,15.4271
25,15.3887
25.999,15.3508
26.999,15.3128
27.999,15.2756
28.999,15.2375
29.999,15.1993
30.999,15.1618
31.999,15.1247
32.999,15.0873
33.999,15.0496
34.999,15.0131
36,14.9743
36.999,14.9365
37.999,14.8992
38.999,14.8619
39.999,14.8251
41,14.7882
41.999,14.7517
43,14.716
43.999,14.6799
45,14.6431
45.999,14.6058
47,14.5699
47.999,14.534
49,14.4982
49.999,14.462
51,14.4263
51.999,14.3896
52.999,14.3531
54,14.3184
54.999,14.283
56,14.2479
56.999,14.2119
57.999,14.1758
58.999,14.1412
59.999,14.1057
60.999,14.0709
61.999,14.0352
62.999,14.0006
63.999,13.9658
65,13.9317
65.999,13.8969
67,13.8649
67.999,13.8284
68.999,13.7932
70,13.7591
70.999,13.7245
72,13.6908
72.999,13.657
73.999,13.6231
74.999,13.5901
75.999,13.5562
77,13.5232
77.999,13.4891
79,13.4571
79.999,13.4235
80.999,13.3893
82,13.3566
82.999,13.3237
84,13.2904
84.999,13.2572
85.999,13.2238
87,13.1906
87.999,13.1589
89,13.1258
89.999,13.0935
90.999,13.0614
92,13.0282
92.999,12.996
93.999,12.964
95,12.9321
95.999,12.9003
96.999,12.8684
98,12.8367
98.999,12.8038
99.999,12.7735
101,12.7423
101.999,12.7107
103,12.678
104,12.6469
104.999,12.6152
106,12.585
107,12.5589
107.999,12.5252
109,12.4931
110,12.4613
110.999,12.4299
111.999,12.3997
113,12.3688
113.999,12.3388
114.999,12.3079
116,12.2762
117,12.2454
118,12.2168
119,12.1863
119.999,12.155
120.999,12.1249
122,12.0934
123,12.0637
123.999,12.0345
124.999,12.0044
126,11.9748
127,11.9456
128,11.9161
129,11.8861
129.999,11.8572
130.999,11.8293
131.999,11.7988
133,11.77
133.999,11.7408
134.999,11.7131
136,11.6819
137,11.6544
137.999,11.6269
138.999,11.5977
139.999,11.5694
141,11.5411
141.999,11.5132
143,11.485
144,11.4562
144.999,11.4284
145.999,11.3999
146.999,11.3721
147.999,11.344
149,11.3185
149.999,11.2969
150.999,11.2716
151.999,11.2437
153,11.2156
154,11.1875
154.999,11.1594
155.999,11.1315
157,11.1051
157.999,11.0772
158.999,11.0491
160,11.0226
160.999,10.9952
161.999,10.9682
163,10.941
164,10.9138
164.999,10.888
166,10.8611
166.999,10.8341
167.999,10.8075
168.999,10.7813
170,10.7543
171,10.7265
172,10.6995
172.999,10.6745
174,10.647
174.999,10.6209
175.998,10.5949
176.998,10.5688
177.998,10.5422
178.998,10.5161
179.999,10.4909
180.999,10.4651
181.998,10.4394
182.998,10.4139
183.998,10.3884
184.999,10.3624
185.998,10.3364
186.998,10.3125
187.998,10.2868
188.998,10.2614
189.998,10.2351
190.998,10.2097
191.998,10.1848
192.998,10.1583
193.998,10.1332
194.998,10.1087
195.999,10.0827
196.998,10.0569
197.998,10.0326
198.998,10.0083
200,9.9832
200.999,9.9576
201.999,9.9337
202.999,9.9084
203.999,9.884
204.999,9.86
206,9.8341
207,9.809
208,9.7845
209,9.762
209.999,9.7377
211,9.7129
212,9.6882
213,9.6639
214,9.6402
214.999,9.6163
215.999,9.5931
216.999,9.5694
217.999,9.5463
218.999,9.5233
219.999,9.5003
220.999,9.477
221.999,9.454
223,9.4315
224,9.4074
224.999,9.384
225.999,9.3606
226.999,9.3379
227.999,9.3146
228.999,9.2919
229.999,9.2682
230.999,9.2459
231.999,9.2221
233,9.1989
234,9.1759
235,9.1536
236,9.1297
237,9.1074
237.999,9.0841
238.999,9.0622
239.999,9.0387
240.999,9.0159
241.999,8.9937
242.999,8.9699
243.999,8.9477
244.999,8.9241
245.999,8.9024
246.999,8.8797
248,8.8575
249,8.8359
249.999,8.8139
